Date : 2022-10-07 15:48:30
Directory : /Users/junioradessu/Documents/ambient-ts-app/src
Total : 885 files,  95655 codes, 5343 comments, 9276 blanks, all 110274 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| components/Trade/Range/RangePriceInfo                                                                                                                      |          3 |        148 |         16 |         25 |        189 |
| components/Trade/Range/RangeShareControl                                                                                                                   |          2 |         84 |          0 |         17 |        101 |
| components/Trade/Range/RangeWidth                                                                                                                          |          3 |        318 |         12 |         62 |        392 |
| components/Trade/Reposition                                                                                                                                |         12 |        535 |         76 |        111 |        722 |
| components/Trade/Reposition/ConfirmRepositionModal                                                                                                         |          2 |         36 |          0 |          8 |         44 |
| components/Trade/Reposition/RepositionDenominationSwitch                                                                                                   |          2 |         60 |         20 |         10 |         90 |
| components/Trade/Reposition/RepositionHeader                                                                                                               |          2 |         26 |          3 |          5 |         34 |
| components/Trade/Reposition/RepositionPriceInfo                                                                                                            |          2 |        132 |         35 |         25 |        192 |
| components/Trade/Reposition/RepositionRangeWidth                                                                                                           |          2 |        259 |         11 |         57 |        327 |
| components/Trade/Reposition/Repositionbutton                                                                                                               |          2 |         22 |          7 |          6 |         35 |
| components/Trade/TradeTabs                                                                                                                                 |         45 |      4,777 |        641 |        758 |      6,176 |
| components/Trade/TradeTabs/Orders                                                                                                                          |         10 |      1,088 |        117 |        170 |      1,375 |
| components/Trade/TradeTabs/Orders/OrderAccordions                                                                                                          |          4 |        366 |          4 |         56 |        426 |
| components/Trade/TradeTabs/Positions                                                                                                                       |          6 |        609 |        144 |        128 |        881 |
| components/Trade/TradeTabs/Positions/Position                                                                                                              |          4 |        544 |         66 |        113 |        723 |
| components/Trade/TradeTabs/PositionsOnlyToggle                                                                                                             |          2 |         88 |          3 |         14 |        105 |
| components/Trade/TradeTabs/Ranges                                                                                                                          |         11 |      1,119 |        148 |        177 |      1,444 |
| components/Trade/TradeTabs/Ranges/RangeAccordions                                                                                                          |          4 |        395 |          2 |         56 |        453 |
| components/Trade/TradeTabs/Transactions                                                                                                                    |         12 |      1,285 |        151 |        196 |      1,632 |
| components/Trade/TradeTabs/Transactions/TransactionAccordions                                                                                              |          4 |        358 |         19 |         60 |        437 |
| components/Trade/TradeTabs/Transactions/TransactionsSkeletons                                                                                              |          2 |         21 |          2 |          3 |         26 |
| constants                                                                                                                                                  |          3 |        111 |         11 |         30 |        152 |
| css                                                                                                                                                        |          2 |         59 |          9 |         12 |         80 |
| data                                                                                                                                                       |         17 |      2,956 |         80 |        270 |      3,306 |
| data/application                                                                                                                                           |          1 |         75 |          3 |         10 |         88 |
| data/combined                                                                                                                                              |          1 |        234 |          7 |         21 |        262 |
| data/pools                                                                                                                                                 |          5 |        919 |         37 |         93 |      1,049 |
| data/protocol                                                                                                                                              |          3 |        486 |         12 |         52 |        550 |
| data/search                                                                                                                                                |          1 |        258 |          2 |         21 |        281 |
| data/tokens                                                                                                                                                |          6 |        984 |         19 |         73 |      1,076 |
| hooks                                                                                                                                                      |          4 |        286 |         56 |         35 |        377 |
| i18n                                                                                                                                                       |         10 |        178 |          5 |         13 |        196 |
| i18n/en                                                                                                                                                    |          3 |         48 |          0 |          3 |         51 |
| i18n/kr                                                                                                                                                    |          3 |         44 |          0 |          3 |         47 |
| i18n/zh                                                                                                                                                    |          3 |         44 |          0 |          3 |         47 |
| pages                                                                                                                                                      |         61 |      8,074 |        613 |      1,234 |      9,921 |
| pages/Analytics                                                                                                                                            |          4 |         51 |          7 |         12 |         70 |
| pages/Chart                                                                                                                                                |          3 |      1,843 |         46 |        309 |      2,198 |
| pages/Home                                                                                                                                                 |          4 |        101 |         20 |         22 |        143 |
| pages/InitPool                                                                                                                                             |          3 |        204 |         11 |         22 |        237 |
| pages/NotFound                                                                                                                                             |          2 |         17 |          0 |          2 |         19 |
| pages/Portfolio                                                                                                                                            |          4 |        358 |         22 |         62 |        442 |
| pages/Swap                                                                                                                                                 |          5 |        585 |         94 |         76 |        755 |
| pages/TermsOfService                                                                                                                                       |          2 |         67 |          0 |          4 |         71 |
| pages/TestPage                                                                                                                                             |          2 |         76 |         28 |         12 |        116 |
| pages/Trade                                                                                                                                                |         29 |      4,671 |        375 |        690 |      5,736 |
| pages/Trade/Edit                                                                                                                                           |          2 |        333 |         32 |         67 |        432 |
| pages/Trade/Limit                                                                                                                                          |          4 |        486 |         27 |         63 |        576 |
| pages/Trade/Range                                                                                                                                          |          7 |      1,222 |         63 |        173 |      1,458 |
| pages/Trade/Reposition                                                                                                                                     |          2 |         42 |          1 |          6 |         49 |
| pages/Trade/TradeCharts                                                                                                                                    |          9 |      1,694 |        152 |        268 |      2,114 |
| pages/Trade/TradeCharts/TradeChartsLoading                                                                                                                 |          5 |        559 |          8 |         88 |        655 |
| pages/Transactions                                                                                                                                         |          2 |         90 |         10 |         16 |        116 |
| state                                                                                                                                                      |         21 |      1,214 |        112 |        169 |      1,495 |
| state/application                                                                                                                                          |          4 |        251 |         19 |         30 |        300 |
| state/global                                                                                                                                               |          1 |          2 |          2 |          2 |          6 |
| state/pools                                                                                                                                                |          5 |        335 |         28 |         49 |        412 |
| state/protocol                                                                                                                                             |          5 |        170 |         11 |         27 |        208 |
| state/tokens                                                                                                                                               |          5 |        431 |         52 |         53 |        536 |
| types                                                                                                                                                      |          1 |         43 |          3 |          7 |         53 |
| utils                                                                                                                                                      |         60 |      3,235 |        310 |        397 |      3,942 |
| utils/classes                                                                                                                                              |          1 |         14 |          0 |          2 |         16 |
| utils/data                                                                                                                                                 |         11 |        711 |         31 |         29 |        771 |
| utils/functions                                                                                                                                            |         13 |        420 |         72 |         77 |        569 |
| utils/hooks                                                                                                                                                |         10 |        686 |         91 |        155 |        932 |
| utils/interfaces                                                                                                                                           |         10 |        142 |          3 |         16 |        161 |
| utils/others                                                                                                                                               |          1 |         47 |          3 |          3 |         53 |
| utils/state                                                                                                                                                |          7 |        951 |         62 |         72 |      1,085 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                                                   | language         | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /Users/junioradessu/Documents/ambient-ts-app/src/App/APP.md                                                                                                | Markdown         |          6 |          0 |          5 |         11 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/App.css                                                                                               | CSS              |        196 |         52 |         45 |        293 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/App.test.tsx                                                                                          | TypeScript React |         17 |          0 |          4 |         21 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/App.tsx                                                                                               | TypeScript React |      1,824 |        241 |        201 |      2,266 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/Chat/Chat.module.css                                                                       | CSS              |        129 |          6 |         27 |        162 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/Chat/Chat.tsx                                                                              | TypeScript React |        158 |         14 |         24 |        196 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/Chat/ChatButton/ChatButton.module.css                                                      | CSS              |        147 |          5 |         18 |        170 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/Chat/ChatButton/ChatButton.tsx                                                             | TypeScript React |         54 |          2 |          5 |         61 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/Chat/MessageItem/MessageItem.module.css                                                    | CSS              |         96 |          3 |         23 |        122 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/Chat/MessageItem/MessageItem.tsx                                                           | TypeScript React |         63 |          0 |          8 |         71 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/Chat/devpun.js                                                                             | JavaScript       |        219 |          0 |          3 |        222 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/GlobalModal/GlobalModal.module.css                                                         | CSS              |          0 |          0 |          1 |          1 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/GlobalModal/GlobalModal.tsx                                                                | TypeScript React |         16 |          0 |          5 |         21 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/GlobalModal/useGlobalModal.ts                                                              | TypeScript       |         19 |          7 |         10 |         36 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/PageFooter/PAGEFOOTER.md                                                                   | Markdown         |          0 |          0 |          1 |          1 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/PageFooter/PageFooter.module.css                                                           | CSS              |         59 |          7 |          8 |         74 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/PageFooter/PageFooter.test.tsx                                                             | TypeScript React |          7 |          0 |          3 |         10 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/PageFooter/PageFooter.tsx                                                                  | TypeScript React |         67 |          7 |          8 |         82 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/PageHeader/Account/Account.module.css                                                      | CSS              |        100 |          2 |         14 |        116 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/PageHeader/Account/Account.tsx                                                             | TypeScript React |         84 |          4 |          9 |         97 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/PageHeader/MagicLogin.module.css                                                           | CSS              |         34 |          0 |          3 |         37 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/PageHeader/MagicLogin.tsx                                                                  | TypeScript React |         64 |          1 |          5 |         70 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/PageHeader/NavItem/NavItem.module.css                                                      | CSS              |         32 |          2 |          5 |         39 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/PageHeader/NavItem/NavItem.tsx                                                             | TypeScript React |         40 |          2 |          8 |         50 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/PageHeader/NavbarDropdownMenu/NavbarDropdownMenu.module.css                                | CSS              |        118 |          4 |         15 |        137 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/PageHeader/NavbarDropdownMenu/NavbarDropdownMenu.tsx                                       | TypeScript React |        297 |         12 |         25 |        334 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/PageHeader/NetworkSelector/NetworkSelector.module.css                                      | CSS              |         90 |          7 |         19 |        116 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/PageHeader/NetworkSelector/NetworkSelector.tsx                                             | TypeScript React |         52 |          4 |          8 |         64 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/PageHeader/NetworkSelector/NewNetworkSelector.module.css                                   | CSS              |         75 |          4 |         22 |        101 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/PageHeader/NetworkSelector/NewNetworkSelector.tsx                                          | TypeScript React |        132 |          0 |         11 |        143 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/PageHeader/PAGEHEADER.md                                                                   | Markdown         |          0 |          0 |          1 |          1 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/PageHeader/PageHeader.module.css                                                           | CSS              |        144 |         43 |         29 |        216 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/PageHeader/PageHeader.test.tsx                                                             | TypeScript React |         15 |          0 |          4 |         19 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/PageHeader/PageHeader.tsx                                                                  | TypeScript React |        197 |         45 |         37 |        279 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/PageHeader/useUrlParams.ts                                                                 | TypeScript       |         18 |         10 |          4 |         32 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/Sidebar/Sidebar.module.css                                                                 | CSS              |        244 |         21 |         66 |        331 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/Sidebar/Sidebar.tsx                                                                        | TypeScript React |        309 |         18 |         35 |        362 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/Sidebar/SidebarAccordion/SidebarAccordion.module.css                                       | CSS              |          0 |         20 |          1 |         21 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/Sidebar/SidebarAccordion/SidebarAccordion.tsx                                              | TypeScript React |         60 |         15 |         11 |         86 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/Sidebar/SidebarSearchResults/OrdersSearchResults/OrdersSearchResults.tsx                   | TypeScript React |         38 |          0 |          4 |         42 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/Sidebar/SidebarSearchResults/PoolsSearchResults/PoolsSearchResults.tsx                     | TypeScript React |         38 |          0 |          6 |         44 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/Sidebar/SidebarSearchResults/PositionsSearchResults/PositionsSearchResults.tsx             | TypeScript React |         38 |          0 |          7 |         45 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/Sidebar/SidebarSearchResults/ResultSkeleton/ResultSkeleton.module.css                      | CSS              |         46 |          0 |          7 |         53 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/Sidebar/SidebarSearchResults/ResultSkeleton/ResultSkeleton.tsx                             | TypeScript React |         11 |          2 |          1 |         14 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/Sidebar/SidebarSearchResults/SidebarSearchResults.module.css                               | CSS              |         62 |          2 |         20 |         84 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/Sidebar/SidebarSearchResults/SidebarSearchResults.tsx                                      | TypeScript React |         22 |          1 |          6 |         29 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/Sidebar/SidebarSearchResults/TransactionsResults/TransactionsResults.tsx                   | TypeScript React |         38 |          0 |          4 |         42 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/Sidebar/formatSeachText.ts                                                                 | TypeScript       |         24 |         12 |          9 |         45 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/Sidebar/useTokenMap.ts                                                                     | TypeScript       |         73 |          0 |          6 |         79 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/WalletModal/WalletButton/WalletButton.module.css                                           | CSS              |         26 |          0 |          5 |         31 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/WalletModal/WalletButton/WalletButton.tsx                                                  | TypeScript React |         16 |          0 |          2 |         18 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/WalletModal/WalletModal.module.css                                                         | CSS              |        110 |          2 |         38 |        150 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/WalletModal/WalletModal.tsx                                                                | TypeScript React |        222 |         22 |         26 |        270 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/components/WalletModal/validateEmail.ts                                                               | TypeScript       |         19 |          4 |          1 |         24 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/connectWallet.ts                                                                                      | TypeScript       |         23 |          2 |          2 |         27 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/functions/calcImpact.ts                                                                               | TypeScript       |         24 |          1 |          3 |         28 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/functions/fetchAddress.ts                                                                             | TypeScript       |         17 |          1 |          4 |         22 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/functions/fetchPoolLimitOrderStates.ts                                                                | TypeScript       |         30 |          0 |          6 |         36 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/functions/fetchPoolRecentChanges.ts                                                                   | TypeScript       |         72 |          3 |          6 |         81 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/functions/fetchTokenBalances.ts                                                                       | TypeScript       |        211 |         20 |         27 |        258 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/functions/fetchTokenLists.ts                                                                          | TypeScript       |         41 |         13 |          4 |         58 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/functions/fetchTokenPrice.ts                                                                          | TypeScript       |         32 |          1 |          6 |         39 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/functions/fetchUserRecentChanges.ts                                                                   | TypeScript       |         58 |          2 |          8 |         68 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/functions/getLimitOrderData.ts                                                                        | TypeScript       |         18 |          1 |          7 |         26 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/functions/getNFTs.ts                                                                                  | TypeScript       |         25 |          5 |          3 |         33 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/functions/getPoolStats.ts                                                                             | TypeScript       |        122 |          0 |         10 |        132 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/functions/getPositionData.ts                                                                          | TypeScript       |        180 |          3 |         26 |        209 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/functions/getTransactionData.ts                                                                       | TypeScript       |         18 |          1 |          7 |         26 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/functions/getTvlSeries.ts                                                                             | TypeScript       |         28 |          1 |          4 |         33 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/functions/getVolumeSeries.ts                                                                          | TypeScript       |         28 |          1 |          4 |         33 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/functions/initializeUserLocalStorage.ts                                                               | TypeScript       |         50 |         24 |         13 |         87 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/functions/memoizePromiseFn.ts                                                                         | TypeScript       |         53 |         12 |         15 |         80 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/functions/querySpotPrice.ts                                                                           | TypeScript       |         22 |          8 |          5 |         35 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/functions/queryTokenDecimals.ts                                                                       | TypeScript       |         15 |          2 |          4 |         21 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/hooks/useAppChain.ts                                                                                  | TypeScript       |         52 |         22 |          9 |         83 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/hooks/useDebounce.ts                                                                                  | TypeScript       |         12 |          8 |          2 |         22 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/hooks/useFavePools.ts                                                                                 | TypeScript       |         52 |          0 |          5 |         57 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/hooks/useTermsOfService.ts                                                                            | TypeScript       |         45 |         15 |          6 |         66 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/hooks/useTokenUniverse.ts                                                                             | TypeScript       |          6 |          0 |          4 |         10 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/mockData.ts                                                                                           | TypeScript       |        200 |          0 |          1 |        201 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/parsePositions.ts                                                                                     | TypeScript       |        109 |          7 |          9 |        125 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/useSlippage.ts                                                                                        | TypeScript       |         66 |          2 |         10 |         78 |
| /Users/junioradessu/Documents/ambient-ts-app/src/App/validateChain.ts                                                                                      | TypeScript       |          5 |         27 |          5 |         37 |
| /Users/junioradessu/Documents/ambient-ts-app/src/apollo/client.ts                                                                                          | TypeScript       |        153 |         16 |         10 |        179 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/animations/NotFound.json                                                                           | JSON             |     25,843 |          0 |          1 |     25,844 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/animations/ambient-logo-icon.tsx                                                                   | TypeScript React |          4 |          0 |          2 |          6 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/animations/completed.json                                                                          | JSON             |      1,963 |          0 |          1 |      1,964 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/animations/hamburger-menu-icon.tsx                                                                 | TypeScript React |         15 |          1 |          4 |         20 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/animations/loading2.json                                                                           | JSON             |        452 |          0 |          1 |        453 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/animations/loading3.json                                                                           | JSON             |         71 |          0 |          1 |         72 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/animations/loading4.json                                                                           | JSON             |      2,571 |          0 |          1 |      2,572 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/animations/loading_spinner.svg                                                                     | XML              |        202 |          0 |          0 |        202 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/images/Investors/berachin1.svg                                                                     | XML              |          3 |          0 |          1 |          4 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/images/Investors/berachin2.svg                                                                     | XML              |          3 |          0 |          1 |          4 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/images/Investors/grug.svg                                                                          | XML              |          3 |          0 |          1 |          4 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/images/Investors/hypotenuse.svg                                                                    | XML              |          3 |          0 |          1 |          4 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/images/Investors/susa.svg                                                                          | XML              |          3 |          0 |          1 |          4 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/images/Temporary/Analytics/chart.svg                                                               | XML              |         15 |          0 |          1 |         16 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/images/Temporary/chart.svg                                                                         | XML              |        106 |          0 |          1 |        107 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/images/Temporary/chart2.svg                                                                        | XML              |         26 |          0 |          1 |         27 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/images/arbitrum.svg                                                                                | XML              |        183 |          1 |          1 |        185 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/images/backgrounds/swap_background.svg                                                             | XML              |         88 |          0 |          1 |         89 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/images/home/active_slider_button.svg                                                               | XML              |         10 |          0 |          1 |         11 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/images/icons/TokensArrow.svg                                                                       | XML              |         10 |          0 |          1 |         11 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/images/icons/avatar.svg                                                                            | XML              |         21 |          1 |          3 |         25 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/images/icons/settings.svg                                                                          | XML              |          1 |          0 |          0 |          1 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/images/icons/star_unfilled.svg                                                                     | XML              |          3 |          0 |          1 |          4 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/images/logos/MetaMask_Fox.svg                                                                      | XML              |         60 |          1 |          1 |         62 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/images/logos/ambi_grey.svg                                                                         | XML              |        202 |          0 |          1 |        203 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/images/logos/ambient_logo.svg                                                                      | XML              |      1,204 |          0 |          1 |      1,205 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/images/networks/arbitrum.svg                                                                       | XML              |        181 |          0 |          1 |        182 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/images/networks/kovan.svg                                                                          | XML              |          1 |          0 |          0 |          1 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/images/networks/optimistic.svg                                                                     | XML              |          5 |          0 |          1 |          6 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/images/networks/polygon.svg                                                                        | XML              |         15 |          1 |          1 |         17 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/images/optimism.svg                                                                                | XML              |          5 |          0 |          1 |          6 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/images/sidebarImages/closeSidebar.svg                                                              | XML              |          5 |          0 |          1 |          6 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/images/sidebarImages/deposit.svg                                                                   | XML              |          1 |          0 |          0 |          1 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/images/sidebarImages/exchange.svg                                                                  | XML              |         61 |          1 |          1 |         63 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/images/sidebarImages/favouritePools.svg                                                            | XML              |         10 |          0 |          1 |         11 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/images/sidebarImages/openOrders.svg                                                                | XML              |          4 |          0 |          1 |          5 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/images/sidebarImages/rangePositions.svg                                                            | XML              |          6 |          0 |          1 |          7 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/images/sidebarImages/recentTransactions.svg                                                        | XML              |          5 |          0 |          1 |          6 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/images/sidebarImages/topPools.svg                                                                  | XML              |          4 |          0 |          1 |          5 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/images/sidebarImages/topTokens.svg                                                                 | XML              |          3 |          0 |          1 |          4 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/images/sidebarImages/transfer.svg                                                                  | XML              |          1 |          0 |          0 |          1 |
| /Users/junioradessu/Documents/ambient-ts-app/src/assets/images/sidebarImages/wallet.svg                                                                    | XML              |         47 |          1 |          1 |         49 |
